# Test Configs
# - test: real weight redundancy test
# - model: resnet18
# - step range: 32
# - max iter: 1000


# conv1                           type: ConvReLU2d       C:   3  OC:  64  (W, H): (226, 226)  (FW, FH): (7, 7)  S: 2  P: 3  (OW, OH): (113, 113)
# layer1.0.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.0.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.1.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.1.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer2.0.conv1                  type: ConvReLU2d       C:  64  OC: 128  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (29, 29)
# layer2.0.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer2.0.downsample.0           type: Conv2d           C:  64  OC: 128  (W, H): (57, 57)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (29, 29)
# layer2.1.conv1                  type: ConvReLU2d       C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer2.1.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer3.0.conv1                  type: ConvReLU2d       C: 128  OC: 256  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (15, 15)
# layer3.0.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer3.0.downsample.0           type: Conv2d           C: 128  OC: 256  (W, H): (29, 29)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (15, 15)
# layer3.1.conv1                  type: ConvReLU2d       C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer3.1.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer4.0.conv1                  type: ConvReLU2d       C: 256  OC: 512  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (8, 8)
# layer4.0.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)
# layer4.0.downsample.0           type: Conv2d           C: 256  OC: 512  (W, H): (15, 15)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (8, 8)
# layer4.1.conv1                  type: ConvReLU2d       C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)
# layer4.1.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)


layer name                    , matched                       , stride exception              , out of index exception        , step range exception          , unknown exception             
conv1                         ,                       25062115,                      369177328,                        2564983,                       90907529,                              0
layer1.0.conv1                ,                        9384475,                              0,                        1283867,                       26877102,                              0
layer1.0.conv2                ,                        7164398,                              0,                         864928,                       17878200,                              0
layer1.1.conv1                ,                        6918479,                              0,                         865704,                       17996632,                              0
layer1.1.conv2                ,                        6901635,                              0,                         841895,                       17926819,                              0
layer2.0.conv1                ,                         585998,                        5290731,                          57548,                         705418,                              0
layer2.0.conv2                ,                        1947871,                              0,                         455122,                        4376308,                              0
layer2.0.downsample.0         ,                              0,                              0,                              0,                              0,                              0
layer2.1.conv1                ,                        1919691,                              0,                         437903,                        4291352,                              0
layer2.1.conv2                ,                        2042336,                              0,                         425604,                        4159140,                              0
layer3.0.conv1                ,                         251815,                        1395900,                          29711,                          87699,                              0
layer3.0.conv2                ,                         926476,                              0,                         217451,                         629523,                              0
layer3.0.downsample.0         ,                              0,                              0,                              0,                              0,                              0
layer3.1.conv1                ,                         962288,                              0,                         212597,                         596540,                              0
layer3.1.conv2                ,                         951997,                              0,                         207474,                         601604,                              0
layer4.0.conv1                ,                          78760,                         395904,                          14672,                           6920,                              0
layer4.0.conv2                ,                         346782,                              0,                         117065,                          51033,                              0
layer4.0.downsample.0         ,                              0,                              0,                              0,                              0,                              0
layer4.1.conv1                ,                         347828,                              0,                         113710,                          46366,                              0
layer4.1.conv2                ,                         340860,                              0,                         106394,                          41258,                              0
