# Test Configs
# - test: real weight redundancy test
# - model: resnet18
# - step range: 8
# - max iter: 1000


# conv1                           type: ConvReLU2d       C:   3  OC:  64  (W, H): (226, 226)  (FW, FH): (7, 7)  S: 2  P: 3  (OW, OH): (113, 113)
# layer1.0.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.0.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.1.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.1.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer2.0.conv1                  type: ConvReLU2d       C:  64  OC: 128  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (29, 29)
# layer2.0.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer2.0.downsample.0           type: Conv2d           C:  64  OC: 128  (W, H): (57, 57)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (29, 29)
# layer2.1.conv1                  type: ConvReLU2d       C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer2.1.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer3.0.conv1                  type: ConvReLU2d       C: 128  OC: 256  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (15, 15)
# layer3.0.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer3.0.downsample.0           type: Conv2d           C: 128  OC: 256  (W, H): (29, 29)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (15, 15)
# layer3.1.conv1                  type: ConvReLU2d       C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer3.1.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer4.0.conv1                  type: ConvReLU2d       C: 256  OC: 512  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (8, 8)
# layer4.0.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)
# layer4.0.downsample.0           type: Conv2d           C: 256  OC: 512  (W, H): (15, 15)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (8, 8)
# layer4.1.conv1                  type: ConvReLU2d       C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)
# layer4.1.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)


layer name                    , matched                       , stride exception              , out of index exception        , step range exception          , unknown exception             
conv1                         ,                       21160692,                      369177328,                        2564983,                       94808952,                              0
layer1.0.conv1                ,                        8165409,                              0,                        1283867,                       28096168,                              0
layer1.0.conv2                ,                        6251763,                              0,                         864928,                       18790835,                              0
layer1.1.conv1                ,                        6020238,                              0,                         865704,                       18894873,                              0
layer1.1.conv2                ,                        6032880,                              0,                         841895,                       18795574,                              0
layer2.0.conv1                ,                         462920,                        5290731,                          57548,                         828496,                              0
layer2.0.conv2                ,                        1437543,                              0,                         455122,                        4886636,                              0
layer2.0.downsample.0         ,                              0,                              0,                              0,                              0,                              0
layer2.1.conv1                ,                        1417356,                              0,                         437903,                        4793687,                              0
layer2.1.conv2                ,                        1522173,                              0,                         425604,                        4679303,                              0
layer3.0.conv1                ,                         128832,                        1395900,                          29711,                         210682,                              0
layer3.0.conv2                ,                         411614,                              0,                         217451,                        1144385,                              0
layer3.0.downsample.0         ,                              0,                              0,                              0,                              0,                              0
layer3.1.conv1                ,                         462745,                              0,                         212597,                        1096083,                              0
layer3.1.conv2                ,                         435067,                              0,                         207474,                        1118534,                              0
layer4.0.conv1                ,                          37240,                         395904,                          14672,                          48440,                              0
layer4.0.conv2                ,                         134136,                              0,                         117065,                         263679,                              0
layer4.0.downsample.0         ,                              0,                              0,                              0,                              0,                              0
layer4.1.conv1                ,                         152048,                              0,                         113710,                         242146,                              0
layer4.1.conv2                ,                         159120,                              0,                         106394,                         222998,                              0
