# Model Name: AlexNet

layer name                    ,  no step,   step32,   step64,  step128,  step256
features.0                    ,     1.79,     1.72,     1.75,     1.77,     1.78
features.3                    ,    42.59,    31.79,    36.90,    39.97,    41.54
features.6                    ,    34.39,    28.18,    31.75,    33.08,    34.39
features.8                    ,    34.44,    28.28,    31.83,    33.14,    34.44
features.10                   ,    34.68,    28.79,    32.19,    33.44,    34.68
overall ratio                 ,    33.75,    26.69,    30.38,    32.15,    33.39



